country,latitude,longitude,postcode,countryCodeAlpha2,countryCodeAlpha3
USA,29.834,-95.4342,77224,US,USA
USA,29.834,-95.4342,77269,US,USA
USA,31.9973,-102.0779,79711,US,USA
USA,32.3579,-94.0913,75685,US,USA
USA,35.4015,-101.8951,79185,US,USA
USA,32.7714,-97.2915,76007,US,USA
USA,32.844,-97.1431,76095,US,USA
USA,32.7714,-97.2915,76113,US,USA
USA,32.4487,-99.7331,79608,US,USA
USA,30.3264,-97.7713,78772,US,USA
USA,29.3465,-100.9289,78841,US,USA
USA,30.5052,-97.8203,78630,US,USA
USA,40.6681,-111.9083,84090,US,USA
USA,37.2458,-79.1335,24513,US,USA
USA,38.8318,-77.2888,20153,US,USA
USA,37.2882,-76.426,23001,US,USA
USA,37.271,-76.4555,23018,US,USA
USA,37.6757,-77.2908,23162,US,USA
USA,37.2235,-76.7833,23081,US,USA
USA,41.3665,-73.2571,06404,US,USA
USA,41.1798,-73.189,06602,US,USA
USA,41.2815,-73.4982,06879,US,USA
USA,41.0534,-73.5387,06920,US,USA
USA,41.9818,-72.6506,06080,US,USA
USA,41.7918,-72.7188,06153,US,USA
USA,41.3657,-72.9275,06494,US,USA
USA,38.8933,-77.0146,20030,US,USA
USA,38.8933,-77.0146,20041,US,USA
USA,38.8834,-77.0282,20065,US,USA
USA,38.8933,-77.0146,20206,US,USA
USA,38.8933,-77.0146,20215,US,USA
USA,38.8933,-77.0146,20330,US,USA
USA,38.8951,-77.0364,20398,US,USA
USA,38.8933,-77.0146,20402,US,USA
USA,38.8953,-77.0221,20412,US,USA
USA,38.8933,-77.0146,20426,US,USA
USA,29.6299,-82.3966,32602,US,USA
USA,29.6516,-82.3248,32627,US,USA
USA,28.4275,-80.829,32923,US,USA
USA,26.1223,-80.1434,33340,US,USA
USA,30.3943,-87.2991,32512,US,USA
USA,30.4213,-87.2169,32591,US,USA
USA,28.5642,-82.4165,34611,US,USA
USA,27.9318,-82.295,33508,US,USA
USA,28.5494,-81.7729,34713,US,USA
USA,30.0206,-84.9806,32335,US,USA
USA,25.7743,-80.1937,33164,US,USA
USA,25.7743,-80.1937,33192,US,USA
USA,30.6612,-86.5945,32588,US,USA
USA,28.5663,-81.2608,32790,US,USA
USA,28.5663,-81.2608,32816,US,USA
USA,28.2717,-82.7195,34673,US,USA
USA,27.8918,-82.7248,33743,US,USA
USA,27.8397,-82.7725,33779,US,USA
USA,27.8918,-82.7248,34697,US,USA
USA,28.242,-81.5667,33858,US,USA
USA,27.8903,-82.0315,33863,US,USA
USA,29.2108,-81.0228,32115,US,USA
USA,31.9714,-81.0716,31403,US,USA
USA,30.8845,-84.5655,39818,US,USA
USA,31.5948,-84.1948,31702,US,USA
USA,34.3333,-85.2337,30129,US,USA
USA,33.8444,-84.4741,30380,US,USA
USA,32.5401,-82.915,31040,US,USA
USA,33.3304,-83.377,31026,US,USA
USA,21.3103,-157.8594,96841,US,USA
USA,42.8349,-93.2226,50427,US,USA
USA,42.29,-91.6824,52344,US,USA
USA,42.0794,-91.5992,52499,US,USA
USA,41.6727,-93.5722,50367,US,USA
USA,43.4666,-112.0341,83403,US,USA
USA,42.098,-88.0141,60038,US,USA
USA,42.1275,-87.829,60065,US,USA
USA,41.0634,-87.625,60944,US,USA
USA,40.5103,-88.998,61790,US,USA
USA,39.8017,-89.6437,62739,US,USA
USA,39.7495,-89.606,62763,US,USA
USA,41.0938,-85.0707,46854,US,USA
USA,39.9556,-86.0139,46085,US,USA
USA,39.7795,-86.1328,46282,US,USA
USA,41.5968,-86.293,46699,US,USA
USA,38.1081,-87.5589,47618,US,USA
USA,37.9971,-87.575,47703,US,USA
USA,38.8999,-94.832,66283,US,USA
USA,37.6922,-97.3375,67278,US,USA
USA,39.0483,-95.678,66601,US,USA
USA,39.0483,-95.678,66625,US,USA
USA,39.0483,-95.678,66626,US,USA
USA,37.1803,-85.3197,42720,US,USA
USA,36.8134,-85.9173,42131,US,USA
USA,37.2198,-83.7883,40932,US,USA
USA,37.7455,-87.1128,42302,US,USA
USA,38.0283,-84.4715,40512,US,USA
USA,38.0283,-84.4715,40523,US,USA
USA,38.2341,-84.8748,40619,US,USA
USA,38.189,-85.6768,40261,US,USA
USA,38.5223,-77.2936,22135,US,USA
USA,37.2232,-76.559,23694,US,USA
USA,36.9312,-76.2397,23529,US,USA
USA,37.2048,-77.3928,23804,US,USA
USA,47.6104,-122.2007,98015,US,USA
USA,47.6815,-122.2087,98083,US,USA
USA,47.8703,-121.7685,98293,US,USA
USA,47.6536,-117.4317,99258,US,USA
USA,43.0696,-89.4239,53707,US,USA
USA,44.7747,-91.9321,54735,US,USA
USA,42.5406,-88.2279,53101,US,USA
USA,43.7767,-88.084,53026,US,USA
USA,44.6178,-89.0166,54926,US,USA
USA,38.4134,-82.2774,25728,US,USA
USA,39.314,-77.7978,25423,US,USA
USA,38.354,-81.6394,25389,US,USA
USA,49.4292,7.6969,09021,US,USA
USA,51.1747,6.3169,09103,US,USA
USA,48.9356,8.9604,09128,US,USA
USA,49.7397,10.1507,09225,US,USA
USA,49.4667,10.7,09250,US,USA
USA,48.8973,9.1916,09279,US,USA
USA,40.6433,-3.3338,09647,US,USA
USA,26.2886,50.114,09658,US,USA
USA,26.2886,50.114,09681,US,USA
USA,50.8483,5.6889,09717,US,USA
USA,37.9795,23.7162,09840,US,USA
USA,35.5249,24.1435,09865,US,USA
USA,24.6877,46.7218,09897,US,USA
USA,-16.5,-68.15,34032,US,USA
